,recipe_name,cuisine_diet
1246,7 Cupcake,indian festive
1247,Aloo Khorma,indian vegetarian
1248,Yummy Cheesecake,continental kid-friendly
1249,Tuvar Dal with Palak,indian vegetarian
1250,Vermicelli Kesari,indian festive
1251,Vegetable and Herb Omelette,continental non-vegetarian
1252,Warm Mud Cake with Vanilla Ice Cream,american kid-friendly
1253,Vegetable Biriyani,indian vegetarian
1254,Veal Vindaloo,anglo-indian non-vegetarian
1255,Traditional Paneer Korma,indian vegetarian
1256,Zair,indo-american festive
1257,Whole Masoor Dal,indian vegetarian
1258,Wonderful Bhath in a Jiffy,indian vegetarian
1259,Zucchini N Sprouted Moong dal Kurma,indian vegetarian
1260,Plain Methi Sabzi,indian vegetarian
1261,Wheat Idiappam (Sevai) - South Indian Delicacy,indian vegetarian
1262,Soya Soup,chinese vegetarian
1263,Urad-Maida Dosai,indian vegetarian
1264,Vegetable Paratha and Coriander Chutney,indian vegetarian
1265,Soya noodles with mushroom,chinese vegetarian
1266,Curry Powder (For Vegetables),indian festive
1267,Vegetables in White Sauce,indian vegetarian
1268,Stew Curry Powder,indian vegetarian
1269,Plain Aloo Dum,indian vegetarian
1270,Traditional Tomato Rice,indian vegetarian
1271,Unnakayi (Banana Rolls),indian kid-friendly
1272,Steamed Pathrade,indian vegetarian
1273,Dahi Baigan (Oriya Dish),indian kid-friendly
1274,Rainbow Sandwich Pakoras,indian vegetarian
1275,Almond Fudge,american vegetarian
1276,Udupi Sambhar,indian vegetarian
1277,Traditional Vangibath,indian vegetarian
1278,Veggie Pancake,indian vegetarian
1279,Aloo Gobi Recipe,indian vegetarian
1280,Zucchini Raita,indian vegetarian
1281,Traditional Orange Cake,continental vegetarian
1282,Chocolate Pineapple Biscuit Pudding,indian kid-friendly
1283,Liver Kababs,indian non-vegetarian
1284,Whole Duck Roasted The Indian Way,anglo-indian non-vegetarian
1285,Val Whole Usli,indian vegetarian
1286,Lauki in Channa Dal,indian vegetarian
1287,Vegetable Mughlai,indian vegetarian
1288,Aloo Kichidi for Special Occasions,indian kid-friendly
1289,Paneer rolls,indian vegetarian
1290,Cucur Udang (Deep fried ladle cakes with prawns),malaysian non-vegetarian
1291,Instant Veg Dosa,indian vegetarian
1292,Truffle,continental kid-friendly
1293,Khakra-Papad Ki Choori,indian vegetarian
1294,Black-Eyed Peas With Onions And Tomatoes,anglo-indian vegetarian
1295,Green Masala Chicken Curry,anglo-indian non-vegetarian
1296,Veg egg,indian kid-friendly
1297,Crab-Snow Peas Curry,indian non-vegetarian
1298,Cheese Soup with Chicken Stock,american non-vegetarian
1299,Savoury Sausage Pie,anglo-indian kid-friendly
1300,Walnut Ladoos,indian festive
1301,Shira,indian kid-friendly
1302,Vegetable Hakka Noodles,chinese vegetarian
1303,Zesty Vegetable in Coconut Gravy,indian vegetarian
1304,Virgin Pina Colada with Tender Coconut,south-american vegetarian
1305,Low Fat Shrikhand,indian vegetarian
1306,Urad Dal and Potato Side Dish,indian kid-friendly
1307,Vegetable Perattal,indian vegetarian
1308,Traditional Vegetable Biriyani,indian vegetarian
1309,Methi Ladoos,indian kid-friendly
1310,Zucchini Chutney,indian vegetarian
1311,Aloo Tikka Masala,indian vegetarian
1312,Wafers Chaat,indian kid-friendly
1313,Varutta Erra Kolumbu,indian festive
1314,Sugary Cashew Nut Macaroons,anglo-indian kid-friendly
1315,Vengaya Thugayal (Onion Chutney),indian vegetarian
1316,Cauliflower Bake,anglo-indian vegetarian
1317,Tasty Pista Cake,indian kid-friendly
1318,Banana Milkshake,continental kid-friendly
1319,Mexican Tacos,mexican vegetarian
1320,Oreo Cookies Cheese Cake,american kid-friendly
1321,Vellai Paniyaram,indian kid-friendly
1322,Vegetable Puttu,indian vegetarian
1323,Plain Akki Roti,indian vegetarian
1324,Sunshine Cake,american kid-friendly
1325,Tortilla Chips Bhel,indian kid-friendly
1326,Rail Palaharam,indian kid-friendly
1327,Wheat rava dry fruit kesari,indian kid-friendly
1328,Yummy Aloo Paratha,indian vegetarian
1329,Yummy Malai Kofta,indian festive
1330,Paneer pasanda,indian vegetarian
1331,Turmeric chicken curry,indian non-vegetarian
1332,Sugar free Dark Chocolate,american vegetarian
1333,Vegetable Fajitas,mexican vegetarian
1334,Uttapam,indian vegetarian
1335,Val beans sundal (anapa ginjala guggillu),indian vegetarian
1336,Traditional Olan,indian vegetarian
1337,Paneer Rogan Josh,indian vegetarian
1338,Fig Honey Sauce,indian festive
1339,Vegan Lamb and Cauliflower Curry,indian vegan
1340,Mixed Dal Adai,indian vegetarian
1341,Varan Bhaat,indian vegetarian
1342,Karela Stir fried Vegetable,indian vegetarian
1343,Egg Bhaji,indian non-vegetarian
1344,Vanilla Cupcakes with glace cherries & Pineapple,american non-vegetarian
1345,Methi Pudina Khakra,indian vegetarian
1346,Parboiled Rice Porridge for Toddlers,indian kid-friendly
1347,Triple Dhoklas,indian vegetarian
1348,Fuggias - East Indian Bread,indian non-vegetarian
1349,Vegetable Kebabs,indian kid-friendly
1350,Veg Bhurji,indian vegetarian
1351,Plain Mushroom Pepper Fry,indian vegetarian
1352,Dum Ka Chicken,indian non-vegetarian
1353,Vegetable and Cheese Parathas,indian festive
1354,Special Watermelon Smoothie,indian vegetarian
1355,Special Aloo Dum,indian vegetarian
1356,Whole Grain Upma,indian vegetarian
1357,White Radish Dip,indian vegetarian
1358,Home Made Taco,mexican kid-friendly
1359,Coffee Toffees,american kid-friendly
1360,Veggie pie with poppy seeds,american vegetarian
1361,Vankaya Menthi Kaaram Koora,indian vegetarian
1362,Wholesome Porridge,indian high-protein
1363,Tum Yum Soup,indian kid-friendly
1364,Veggie Childa,indian vegetarian
1365,Molagai Chutney,indian festive
1366,Trotters Soup,anglo-indian non-vegetarian
1367,Mustard Chilli Seasoning,indian vegetarian
1368,Aloo Mutter with Garlic Flavor,indian kid-friendly
1369,Tropical smoothie,indian kid-friendly
1370,Prawn Shahi Barfi,indian non-vegetarian
1371,Simple Italian Dressing,continental vegetarian
1372,Tridev Dhal,indian vegetarian
1373,Fish Curry With Coconut,indian non-vegetarian
1374,Green vadas,indian vegetarian
1375,Yummy Kalakand,indian festive
1376,Vatral Kuzhambu,indian vegetarian
1377,Almond Slices,continental festive
1378,Amla (Nellikai) Chutney,indian kid-friendly
1379,Wheat Germ Kheer,indian festive
1380,7 Cups Delight,indian festive
1381,Yakhni,indian non-vegetarian
1382,Indian Kabuli,indian vegetarian
1383,Green Gram Barfi,indian festive
1384,Zamin Doz Machhli,indian non-vegetarian
1385,Easy Chocolate Cookies,continental kid-friendly
1386,Telcha,indian festive
1387,Sutoda,indian festive
1388,Tossed Salad,continental non-vegetarian
1389,Aloo Pudhina,indian vegetarian
1390,Soya Fennel Rice,continental vegetarian
1391,Amle ki Chutney,indian vegetarian
1392,Devil's Steak,anglo-indian non-vegetarian
1393,Teekha mach,indian non-vegetarian
1394,Eggs and Potato Curry,indian non-vegetarian
1395,Tuna Fish Tomato Curry,indian non-vegetarian
1396,Orange and Strawberry Punch,indian vegetarian
1397,Traditional Tomato curry,indian vegetarian
1398,Aloo Methi Masala,indian vegetarian
1399,Ven pongal recipe,indian vegetarian
1400,Grape Mocktail,indian vegetarian
1401,Traditional Paneer jalfrezi,indian vegetarian
1402,Nasi Lemak and Prawn Sambal with coconut,malaysian non-vegetarian
1403,Yummy Mutton Chops,indian non-vegetarian
1404,Traditional Tomato Thokku,indian vegetarian
1405,Aloo Kannapuri,indian vegetarian
1406,Date Apple Coffee Bread,american kid-friendly
1407,Traditional Sannas,indian kid-friendly
1408,Tortilla Soup with beef and chicken broth,mexican non-vegetarian
1409,Plain Pineapple cake,american festive
1410,Microwave Kalakand,indian kid-friendly
1411,Vinegar Chillies And Mayonnaise,indian vegetarian
1412,Special Vegetable Jalfrezi,indian vegetarian
1413,Yellow Dal,indian vegetarian
1414,Chicken masala semi gravy,indian non-vegetarian
1415,Yummy Kesari,indian festive
1416,Vendakkai (Okra) Kuzhambu,indian vegetarian
1417,Fish in Mustard Sauce,indian festive
1418,Aloo Masala,indian vegetarian
1419,Almond and Rice Kheer,indian festive
1420,Plain Sakkarai Pongal,indian kid-friendly
1421,Quick Adai,indian low-calorie
1422,Traditional Tomato Mushrooms,indian kid-friendly
1423,Cabbage capsicum masala,indian vegetarian
1424,Egg-Vegetable Omelette,indian kid-friendly
1425,Tortilla Laddus,indian kid-friendly
1426,Traditional Kerala Fish Curry,indian non-vegetarian
1427,Vegetable and Potato Fritters,indian vegetarian
1428,Simple Amla Pickle,indian vegetarian
1429,Pine Coconuty Fusion,indian vegetarian
1430,Zero Oil Bake Gulab Jamun,indian kid-friendly
1431,Watermelon And Apple Cooler,indian vegetarian
1432,Tomato Pickups,indian vegetarian
1433,Creamy Rabri Sip,indian vegetarian
1434,Vegetable Gravy,indian vegetarian
1435,Plain Aloo Gobi,indian vegetarian
1436,Quick Aloo Dum,indian vegetarian
1437,Zesty Tomato Rice,indian kid-friendly
1438,Soya Salad,indian vegetarian
1439,Veg. Seekh Kababs,indian kid-friendly
1440,Aloo Paratha Recipe,indian vegetarian
1441,Aloo Baingan,indian vegetarian
1442,Tomato Tea Sandwiches,anglo-indian kid-friendly
1443,Vermicelli Delight,indian kid-friendly
1444,Fowl Curry with Roasted Masala,indian non-vegetarian
1445,Quick Chocolate Chip Cookies,indian kid-friendly
1446,Winter Masoor Dal,indian high-protein
1447,Refreshing Carrot Juice,indian vegetarian
1448,Vegetable Ginger Fry,indian vegetarian
1449,Yummy Matar Paneer,indian vegetarian
1450,Mixed greens And Corn Dumplings,indian vegetarian
1451,Turai Channa Dal,indian vegetarian
1452,White Sauce for Bakes and Pasta,anglo-indian vegetarian
1453,Veg kara pongal,indian vegetarian
1454,Quick Aloo Gobi,indian vegetarian
1455,Vegetable Rice,indian vegetarian
1456,Banana Caramel Cream,indian vegetarian
1457,Aloo mutter Tikki,indian vegetarian
1458,Vankaya allam karam (egg plant curry),indian kid-friendly
1459,Vegetable Pancake Batter,indian kid-friendly
1460,Vatta kolambhu (tamarind curry),indian kid-friendly
1461,Vegetarian Shepherd's Pie,anglo-indian kid-friendly
1462,Boti,indian non-vegetarian
1463,Green apple salad,american vegetarian
1464,Kheema in Green Masala,indian non-vegetarian
1465,Yeriseri,indian vegetarian
1466,Methi Bhajiya,indian vegetarian
1467,Exotic Egg Spread,indian non-vegetarian
1468,Mixed Cubes,indian vegetarian
1469,Spicy Cauliflower - Broccoli Fritters,anglo-indian non-vegetarian
1470,Traditional Onion Pakoras,indian kid-friendly
1471,Vegetable Fried Rice in Chilli-Soya Sauce,chinese festive
1472,Raagi Muddhe,indian kid-friendly
1473,Aloo Chokha,indian vegetarian
1474,Egg curry in Yogurt based Gravy,indian non-vegetarian
1475,Curry Powder for Meat - bulk,indian festive
1476,Patishapta,indian festive
1477,Sardine Rounds,english non-vegetarian
1478,Palak-Tomato Pulav,indian vegetarian
1479,Liver And Bacon Casserole,anglo-indian non-vegetarian
1480,Nutritious Lentil Rice,indian vegetarian
1481,Turmeric Powder,indian vegetarian
1482,Vanilla with Faces,indian kid-friendly
1483,Sizzling Tamarind Rice,indian vegetarian
1484,Brown Dal,indian vegetarian
1485,Traditional Urad Dal Ladoo,indian festive
1486,Tuna Fish,indian non-vegetarian
1487,Deep Fried Idli Patties,indian vegetarian
1488,Anglo-Indian Chicken Vindaloo,anglo-indian non-vegetarian
1489,Aloo Pakoda,indian vegetarian
1490,Walnut chutney,indian vegetarian
1491,Methina Bhajiya,indian vegetarian
1492,Pav Bhaji under 30 minutes,indian vegetarian
1493,Traditional Navaratna Kurma,indian vegetarian
1494,Vaangi Upma,indian vegetarian
1495,Simple Crab Curry,anglo-indian non-vegetarian
1496,Unstuffed Modak for Naivedya,indian kid-friendly
1497,Vegetarian Brown Sauce,anglo-indian vegetarian
1498,Wholesome Nutty Salad,indian vegetarian
1499,White Chicken Kurma,indian non-vegetarian
1500,Vanilla Drops,anglo-indian kid-friendly
1501,Moong Dal Uthappam,indian kid-friendly
1502,Urad Dal Ki Kachauri,indian vegetarian
1503,Veg Ball Biriyani,indian vegetarian
1504,Vegetarian Kway Teow,chinese vegetarian
1505,Turkish style Festive Baklana,turkish kid-friendly
1506,Rawa Milagu Pongal,indian vegetarian
1507,Chocolate Kheer,indian festive
1508,Yummy Idli and Chutney,indian kid-friendly
1509,Vendakai puli pachadi,indian vegetarian
1510,Traditional Punjabi Chole,indian festive
1511,No Cook Dessert,american kid-friendly
1512,Whole Mixed Dal,indian vegetarian
1513,Yummy Aloo Mattar,indian vegetarian
1514,Zesty Salad,continental vegetarian
1515,Yam And Tomato Vindaloo,anglo-indian vegetarian
1516,Traditional Palak Pakodas,indian kid-friendly
1517,Adai Dosai,indian vegetarian
1518,Trifle Pudding,continental festive
1519,Kurkura Arbi Masala,indian vegetarian
1520,Vegetarian Mee Goreng,chinese vegetarian
1521,Cheese Cream,american non-vegetarian
1522,Brownie Shake,american vegetarian
1523,Yellow Pumpkin Curry,indian vegetarian
1524,Vegetable stuffed potatoes,indian vegetarian
1525,Wacky Cake,american kid-friendly
1526,Plain Aloo Fry,indian vegetarian
1527,Aloo Methi with Yogurt,indian vegetarian
1528,Achar Aloo,indian vegetarian
1529,Microwaved Potato,indian vegetarian
1530,Duck Roast,anglo-indian non-vegetarian
1531,Dahi Malai Delight,indian vegetarian
1532,Hilsa in curd - Bengali style,indian non-vegetarian
1533,Toasted Tea Cakes,anglo-indian kid-friendly
1534,South Indian Crab Curry,indian non-vegetarian
1535,Traditional Mediterranean Lasagna,indian festive
1536,Indian style Palak rice,indian vegetarian
1537,Wada Pav,indian vegetarian
1538,Vathakuzhambu,indian vegetarian
1539,Chicken In Mint And Coriander Gravy,anglo-indian non-vegetarian
1540,Yummy Butter Chicken,indian non-vegetarian
1541,Aloo Puri,indian vegetarian
1542,Tawa Dahi Kebabs,indian vegetarian
1543,Aloo Halwa,indian festive
1544,Shavige Uppittu,indian vegetarian
1545,Aloo Ki Tikki,indian kid-friendly
1546,Veppampoo rasam,indian festive
1547,Spicy pork curry,anglo-indian non-vegetarian
1548,Green Moong Kebabs,indian vegetarian
1549,Vanilla ice cream with pista,indian kid-friendly
1550,Strawberry-Chocolate Mousse,indian vegetarian
1551,Vegetable dal fry,indian vegetarian
1552,Corn Coleslaw,continental vegetarian
1553,Veg Soother,continental vegetarian
1554,Vellayappam,indian kid-friendly
1555,Coconut Pilaf - Palau,anglo-indian vegetarian
1556,Freeze-Thaw Tofu Fried Rice,indian vegetarian
1557,Vanilla Tea Cupcakes,continental kid-friendly
1558,Penne a la Arrabiata,italian vegetarian
1559,Vishu Puzhuku,indian vegetarian
1560,Aloo Mutter (Potatoes and Peas Curry),indian vegetarian
1561,Tasty Aloo Paratha,indian vegetarian
1562,Sizzling Tangy fish curry,anglo-indian non-vegetarian
1563,Pineapple Pastries,indian non-vegetarian
1564,Yummy Capsicum Chicken,indian non-vegetarian
1565,Wheat Rava Idli,indian vegetarian
1566,Vegetable soup recipe,indian vegetarian
1567,Berry Banana Crepes,italian kid-friendly
1568,Cheddar Garlic Biscuits,continental kid-friendly
1569,Catla Fish Stew,indian non-vegetarian
1570,Turkey Fry,continental festive
1571,White Mutton Curry,indian non-vegetarian
1572,Traditional Vegetable Soup,indian kid-friendly
1573,Aam Ras Puri,indian kid-friendly
1574,Cheesy cauliflower,continental kid-friendly
1575,Vangibath Masala Powder,indian vegetarian
1576,Traditional Palak Kofta Curry,indian vegetarian
1577,Old-fashioned Vegetable Omelette,indian vegetarian
1578,Watermelon And Lychee Fruit Salad,indian kid-friendly
1579,Vegetable Rava Upma,indian vegetarian
1580,Vatana Salad,indian vegetarian
1581,White Pumpkin (Ghia) kesaria muraabba,indian festive
1582,Vangaya Vathakozhambu,indian vegetarian
1583,Vengaaya Sambar,indian vegetarian
1584,Alu-Tomato Saag,indian vegetarian
1585,Vegetable Malai Kofta Curry,indian kid-friendly
1586,Twice Bake Potatoes,continental vegetarian
1587,Ulvu Charu (Horse Gram Rasam),indian vegetarian
1588,Junnu,indian kid-friendly
1589,Crabs In Coconut Milk Curry,anglo-indian non-vegetarian
1590,Simple Aloo Palak,indian vegetarian
1591,Vegetable Kholapuri,indian vegetarian
1592,Traditional Tomato Pulao,indian vegetarian
1593,Plain Aamras,indian festive
1594,Vegetable and Herb Omlette,continental non-vegetarian
1595,Vegetable Kofta,indian kid-friendly
1596,Tomato Mozzarella Salad with Basil,italian vegetarian
1597,Bisi Bele Hulianna,indian vegetarian
1598,Custard Powder Biscuits,american vegetarian
1599,Traditional Tomato Chutney,indian vegetarian
1600,Wheat-Moong Khichdi,indian vegetarian
1601,Mixed Fruit Mock tail,indian vegetarian
1602,Vegetable Moong Dal Attu,indian vegetarian
1603,Vellarikkai Koottu,indian vegetarian
1604,Wheat Flour Soup,indian vegetarian
1605,Veg Soft Noodles,indo-chinese kid-friendly
1606,Traditional Parathas,indian kid-friendly
1607,Vegetable Sweet Corn Soup,chinese vegetarian
1608,Yummy Idli,indian vegetarian
1609,Amla Raita,indian vegetarian
1610,Fish Pilaf (Palau),anglo-indian non-vegetarian
1611,Yoghurt Sauce,indian vegetarian
1612,Vegetable Au Gratin,french vegetarian
1613,Zuchini Olan,indian vegetarian
1614,Vegetable and Cheese Burger,indian kid-friendly
1615,Whole Lime Pickle,indian vegetarian
1616,Zesty Rajma,indian vegetarian
1617,Tomato - Dahi Chutney,indian vegetarian
1618,Aloo Raita,indian vegetarian
1619,Ilish Bhape,indian non-vegetarian
1620,Vatta Kozhambu,indian vegetarian
1621,Tomato and Mint Shorba,indian vegetarian
1622,Aloo Tikki with mint,indian vegetarian
1623,Yellow Split Peas Vadai,indian vegetarian
1624,Sea Crabs Hot Fry,indian non-vegetarian
1625,Kaju Onion Bhajiya,indian vegetarian
1626,Fruit Tiramisu,italian vegetarian
1627,Almond Frosted Chocolate Pudding,american non-vegetarian
1628,Potato Cauliflower Masala,indian vegetarian
1629,Aloo Dil Vada,indian vegetarian
1630,Amaranth Stem Sukke,indian vegetarian
1631,Spicy Tomato Omelette,indian vegetarian
1632,Ghar ka Khana- Aloo Gobi,indian vegetarian
1633,Plain Aloo Amritsari,indian vegetarian
1634,Traditional Mysore Rasam,indian vegetarian
1635,Karela Salad,indian vegetarian
1636,Trifle Fruit Pudding,continental festive
1637,Aloo Vada,indian vegetarian
1638,Curry Powder for Meat,indian festive
1639,Zucchini and Chocolate Muffins,american kid-friendly
1640,Butter Beans-Lima Beans Curry,anglo-indian vegetarian
1641,7 cups sweet for festivals,indian festive
1642,Wholesome Soup,indian vegetarian
1643,Lauki Ka Halwa with Mawa,indian kid-friendly
1644,Tricolour Sandwiches,american vegetarian
1645,Yummy egg do pyaza,indian non-vegetarian
1646,Naryal ki Kachori,indian kid-friendly
1647,Mustard Fish Curry,indian non-vegetarian
1648,Aloo Pitika,indian vegetarian
1649,Vegetable Stuffed Chapatti,indian kid-friendly
1650,Vatha Kulambu,indian vegetarian
1651,Whole Green Gram With Yoghurt,indian vegetarian
1652,Variety Lassi,indian festive
1653,Zest up with Lemons,continental vegetarian
1654,Egg Pakoras,anglo-indian non-vegetarian
1655,Yummy Gulab Jamuns,indian kid-friendly
1656,Microwaved Bottle gourd and Dal,indian vegetarian
1657,Urad Vada,indian vegetarian
1658,Xewali Phoolor Khar,indian vegetarian
1659,Orange Cheese Souffle,american non-vegetarian
1660,Watermelon Ice,indian vegetarian
1661,Simple Fried Crab In Chilli Sauce,malaysian non-vegetarian
1662,Wholesome Broth with Khakra,indian vegetarian
1663,Wheat Laddu,indian festive
1664,Watermelon Frozen Dessert,indian kid-friendly
1665,Stuffed cuttlefish squids sambal,malaysian non-vegetarian
1666,Traditional Palak rice,indian vegetarian
1667,Sweet Sesame Rice,indian vegetarian
1668,Broccoli and Spinach Tikkis,indian vegetarian
1669,Achari Gobi,indian vegetarian
1670,Yogurt Soup,indian non-vegetarian
1671,Seafood Paella,mediterranean kid-friendly
1672,Trotters in Gravy,anglo-indian non-vegetarian
1673,Vegetable Lasagne with Ricotta Cheese,continental kid-friendly
1674,Vanilla Pancakes,anglo-indian kid-friendly
1675,Easy Aloo Jeera Fry,indian vegetarian
1676,Pot Luck Casserole,anglo-indian kid-friendly
1677,Aloo Bread Tikki,indian vegetarian
1678,Traditional Undhiyu,indian kid-friendly
1679,Yoghurt Brownies,american kid-friendly
1680,Vegetable Rice and Kurma,indian vegetarian
1681,Khopra Pak,indian festive
1682,Veggie Loaded Taco Roll,mexican vegetarian
1683,Vegetable (Mixed) Kofta Curry,anglo-indian vegetarian
1684,Pushnikai (White Pumpkin) Halwa,indian vegetarian
1685,Vagaarela Green Chillies,indian vegetarian
1686,Semolina Pineapple Cake,english kid-friendly
1687,Kesaria Lassi,indian vegetarian
1688,Yellow Coconut Rice,indian vegetarian
1689,Traditional Vanilla Ice cream,indian festive
1690,Til Aur Nariyal Ki Barfi,indian kid-friendly
1691,Tofu Cabbage Miso Soup,japanese vegetarian
1692,Wholesome Omelette,indian non-vegetarian
1693,Veg sandwich,indian vegetarian
1694,Yummy Pork Roast,anglo-indian non-vegetarian
1695,Aloo batter fried,indian vegetarian
1696,Yoghurt chicken,indian non-vegetarian
1697,Eggless Pineapple Pastry,continental kid-friendly
1698,Sprouted Moong And Peanut Salad,anglo-indian vegetarian
1699,Ukdee Che Modak (Rice modak),indian kid-friendly
1700,Traditional Palak Paneer,indian vegetarian
1701,Aloo Dum Awadhi,indian kid-friendly
1702,Vanilla flavored buttermilk cake,indian kid-friendly
1703,Basic Aloo Paratha,indian vegetarian
1704,Veg Cream Sandwich,continental kid-friendly
1705,Vegetable Manchurian,indian vegetarian
1706,Yumyum Noodles,chinese non-vegetarian
1707,Vatli Dal,indian vegetarian
1708,Spicy Trotters Curry,anglo-indian non-vegetarian
1709,Amul Cheese Dosa,indian vegetarian
1710,Paneer Peshawar,indian vegetarian
1711,Aappam with banana,indian kid-friendly
1712,Ulli Theeyal,indian vegetarian
1713,Vegetable Rice Flour Roti,indian vegetarian
1714,Adai with Rice and Daals,indian vegetarian
1715,Lilvani Kachori,indian vegetarian
1716,Vegetable Spring Rolls,indo-chinese vegetarian
1717,Yummy Rajma,indian vegetarian
1718,Simple Ghee Rice,indian vegetarian
1719,Traditional Paneer Burji,indian vegetarian
1720,Yummy Momos,indian non-vegetarian
1721,Chawli Ke Parathe,indian vegetarian
1722,Yummy Rava Ladoos,indian vegetarian
1723,Yummy Rasgullas,indian festive
1724,Focaccia Bread,american vegetarian
1725,Simple Aloo Paratha,indian vegetarian
1726,Crispy and Yummy Chicken,indian kid-friendly
1727,Tasty Aam Ki Chutney,indian vegetarian
1728,Ugadhi chutney,indian vegetarian
1729,Aloo Tikki with coriander,indian vegetarian
1730,Truffle in Paradise Ice-Cream,american kid-friendly
1731,Aloo Aur Pyaaz Ki Sabzi,indian vegetarian
1732,Tomato And Basil Bruschetta,italian vegetarian
1733,Vegetable Soup Chowder,american vegetarian
1734,Aloo Deem Sheddo Phena Bhaat,indian non-vegetarian
1735,Vanilla Cupcakes with Applesauce,english non-vegetarian
1736,Yummy Mango Kulfi,indian kid-friendly
1737,French Toast with Herbs,french non-vegetarian
1738,Plain Aloo Mutter,indian vegetarian
1739,Quick Akki Roti,indian vegetarian
1740,White cake,american kid-friendly
1741,Almond Cake with Eggs,indian kid-friendly
1742,Mutton Drumstick Curry,indian non-vegetarian
1743,Tortilla Rolls,mexican kid-friendly
1744,Whole curried mackerels,anglo-indian non-vegetarian
1745,Whole Wheat Semolina Pulao,indian vegetarian
1746,Doldol With Jaggery,anglo-indian festive
1747,Vanilla Pudding,indian kid-friendly
1748,Tomato Khakras,indian festive
1749,Aloo Tamatar Sabzi,indian vegetarian
1750,Traditional Paneer butter masala,indian vegetarian
1751,Urad Dal Vadai,indian vegetarian
1752,Vermicelli Cutlet,indian vegetarian
1753,Ambode,indian vegetarian
1754,Yam kuzhambhu,indian vegetarian
1755,Uthappam,indian vegetarian
1756,Tamarind Rice,indian vegetarian
1757,Almond Milk Smoothie,indian festive
1758,Tangy Onion Curry,indian vegetarian
1759,Tangy Fish Tenga,indian non-vegetarian
1760,Cauliflower Soup,american vegetarian
1761,Yummy Fried Rice,indian kid-friendly
1762,Tuppa Dosa,indian kid-friendly
1763,Simple Anglo-Indian beef roast,anglo-indian non-vegetarian
1764,Vegetable Chowmein,chinese vegetarian
1765,X-Mas Porridge,indian festive
1766,Crispy Walnut Cookies,continental kid-friendly
1767,Walnut Fudge Easter Eggs,anglo-indian festive
1768,Mazedar Aloo Palak,indian vegetarian
1769,Traditional Palak Raita,indian vegetarian
1770,Aloo Gobi Fry with Eggs,indian non-vegetarian
1771,vegetable noodles,chinese vegetarian
1772,Traditional Avial,indian vegetarian
1773,Yummy Ras Malai,indian festive
1774,Zucchini Muffins,continental kid-friendly
1775,Yellow Dal with Dill and Spinach,indian vegetarian
1776,Dal Makhani with Chana Dal,indian vegetarian
1777,Cheese and Vegetable Rolls,american non-vegetarian
1778,Aam Panna with Rock Salt and Roasted Cumin,indian vegetarian
1779,Turnip Masala,indian vegetarian
1780,Evening Halo,indian kid-friendly
1781,Vadakari,indian vegetarian
1782,Custard Pastry,indian kid-friendly
1783,Scarlett Grape Juice,continental kid-friendly
1784,Choco Chip Buns,continental kid-friendly
1785,Traditional pongal,indian vegetarian
1786,Vegetable Paella,continental vegetarian
1787,Cocojam Rolls,indian kid-friendly
1788,Vegetable chow chow,chinese vegetarian
1789,Veggie Rice Soup,indian kid-friendly
1790,Khirapath,indian festive
1791,Aloo Matar in Dahi,indian vegetarian
1792,Tuvar Dal,indian vegetarian
1793,Sakkarai Pongal,indian vegetarian
1794,Okra-pepper Curry,indian vegetarian
1795,Vegetable Puffs,anglo-indian vegetarian
1796,Quick Aloo Posto,indian festive
1797,Vegetable Powder,indian vegetarian
1798,Mutton with Arbi,indian non-vegetarian
1799,Marie Biscuit Choco Magic,anglo-indian kid-friendly
1800,Aloo Pethe Ka Saag,indian vegetarian
1801,White Pumpkin - Ash Gourd In Dhal,anglo-indian vegetarian
1802,Okra Pakodas,indian vegetarian
1803,Yoghurt Kebabs,indian vegetarian
1804,Modern Paneer Butter Masala,indian vegetarian
1805,Mutton Palak and Methi,indian non-vegetarian
1806,Yeriyappa,indian festive
1807,Paneer Lajawab,indian vegetarian
1808,Veg pulao with Cauliflower,indian vegetarian
1809,Cabbage and dal crumble (Cabbage usili),indian kid-friendly
1810,Lauki Dal,indian vegetarian
1811,Wheat-Cabbage rotis,indian vegetarian
1812,Urad Dal Raita,indian vegetarian
1813,Zeera Rice,indian kid-friendly
1814,Quick Tinda Curry,indian vegetarian
1815,Bottle Gourd With Split Peas,indian vegetarian
1816,Urad Dal Vada in Sugar Syrup,indian vegetarian
1817,Duck Vindaloo,anglo-indian non-vegetarian
1818,Scrumptious Fried Rice,indian vegetarian
1819,Shrimp Scampi,italian non-vegetarian
1820,Special Karela Pickle,indian vegetarian
1821,Traditional Palak Dal,indian vegetarian
1822,Rasagolla,indian festive
1823,Rava Payasam,indian vegetarian
1824,Vendaya Keerai Masiyal,indian vegetarian
1825,Simple beetroot chutney,indian vegetarian
1826,Tuna Patties,indian kid-friendly
1827,Peanut chutney with Spices,indian kid-friendly
1828,Indian Egg Stew,indian non-vegetarian
1829,Seyal Dabroti (Masala Bread),indian kid-friendly
1830,Soya Bonda,indian vegetarian
1831,Simple Kesari,indian kid-friendly
1832,Bottle Gourd with Soya,indian vegetarian
1833,Semolina Coconut Sweet,anglo-indian festive
1834,Sodhi,indian vegetarian
1835,Rice Noodles,indian vegetarian
1836,Vegetable Marrow - Chowchow Side Dish,anglo-indian vegetarian
1837,Special Dosai Podi,indian vegetarian
1838,Saffron Oats Peda,indian kid-friendly
