,recipe_name,cuisine_diet
277,Almond Payasam,indian vegetarian
278,Chicken Serunding in rich coconut milk,malaysian non-vegetarian
279,Aate Ka Halwa,indian kid-friendly
280,Almond Butter Cake,indian kid-friendly
281,Cold Cucumber Soup,indian vegetarian
282,Spiced Indian Chicken,indian non-vegetarian
283,Alu matki usal,indian vegetarian
284,Alasanda vadium ( lobiya cryspies),indian vegetarian
285,Deep fried Prawn Balls,indian non-vegetarian
286,Aloo Jeera,indian vegetarian
287,Sri Lankan Fish Curry,sri-lankan non-vegetarian
288,French Doughnuts,french kid-friendly
289,Bengali Tangy Fish Curry,indian non-vegetarian
290,Aloo Palak,indian vegetarian
291,Aloo paratha,indian vegetarian
292,Lasuni Dal Vada,indian festive
293,Sauteed Thai Fried Rice,thai festive
294,French Toast with Herbs for Breakfast,continental non-vegetarian
295,Arbi-Yam Oondhiya,indian vegetarian
296,Indian Drumstick Kootu,indian vegetarian
297,Coconut Kadhi with Kokam,indian vegetarian
298,Aloo Bhath,indian vegetarian
299,Apple Raisin Christmas Pie,continental festive
300,Almond Meringue Torte,anglo-indian kid-friendly
301,Easy to make Birthday Cake,indian kid-friendly
302,Green Mango Curry with Pineapple,indian vegetarian
303,Apple Pancakes,indian festive
304,Apple coleslaw,american kid-friendly
305,Indian String Beans Curry,indian vegetarian
306,Aloo Poha,indian kid-friendly
307,Amita Khar,indian vegetarian
308,Aam aur kele ka rasayan,indian vegetarian
309,Adai (Dhal Dosa),indian vegetarian
310,Anglo-Burmese Khow Suey,anglo-indian non-vegetarian
311,Aam ka kulfi,indian kid-friendly
312,Continental Egg Salad,continental festive
313,Onion Garlic Chutney with Pepper,indian vegetarian
314,Ada dosa,indian vegetarian
315,Bittersweet Chocolate Cake,continental non-vegetarian
316,Easy Bread Pizza,continental vegetarian
317,Egg Manchurian,indo-chinese kid-friendly
318,American Mojito Martini,american festive
319,Aloo Pastry Puffs,indian vegetarian
320,Anglo Indian Waldorf Salad,anglo-indian vegetarian
321,Festive Eggnog,continental festive
322,Hara Murg,indian non-vegetarian
323,Breadfruit (Kadachakka) Fritters,continental vegetarian
324,Eggless Wholewheat Waffles,american kid-friendly
325,Fish Bread Roll,indian non-vegetarian
326,Chicken Roast with Indian Spices,indian non-vegetarian
327,Ambrosia Fruit Salad,indian kid-friendly
328,Upma Pidi Kozhukattai,indian kid-friendly
329,Amritsari fish with salmon,indian non-vegetarian
330,Almond yogurt,indian kid-friendly
331,Andhra Chicken Shashlik Masal,indian non-vegetarian
332,Aamras with Poori,indian vegetarian
333,Ammini (mini) kozhukattai,indian festive
334,Mullangi kootu,indian vegetarian
335,5 Minutes Chocolate Mousse,english kid-friendly
336,Kerala Fish Stew,indian non-vegetarian
337,Mediterranean Chick Pea Salad,mediterranean kid-friendly
338,Firni,indian vegetarian
339,Aloo De Sagaan,indian vegetarian
340,Indian Dhaniya Chicken,indian non-vegetarian
341,Ajwain Kulcha - Carrom seeds Kulcha,indian kid-friendly
342,Almond Crush,indian kid-friendly
343,Akhini,indian non-vegetarian
344,All Spice Powder (Garam Masala Powder),indian vegetarian
345,Alphabet Soup,continental vegetarian
346,Mango Pickle with Indian Spices,indian vegetarian
347,Anjaraipetti Kuzhambu,indian vegetarian
348,Raw Banana Pulitta Koottu,indian vegetarian
349,Tortellini With Shiitakes and Peas,italian vegetarian
350,Velvety Green Curry with Peas and Mushrooms,indian vegan
351,Paneer with Gravy,indian vegetarian
352,Dalma,indian kid-friendly
353,Paasi Paruppu Pesarattu,indian kid-friendly
354,Golden Shrimp Vada,indian non-vegetarian
355,Aapam with thengaipal,indian kid-friendly
356,Almond macaroons,indian kid-friendly
357,Appalam Vatha Kozhambhu,indian vegetarian
358,Arabian Pulao,indian non-vegetarian
359,Chilled Mango Kulfi,indian kid-friendly
360,Almond Bark,indian festive
361,Indian Lapsee,indian festive
362,Amaranthus Sambar,indian kid-friendly
363,Aam ki subzi,indian kid-friendly
364,2-Seeds Crackers,indian kid-friendly
365,Cheese Mince Pancakes,continental non-vegetarian
366,Alu matar ka pie,indian non-vegetarian
